Progress,CreationClass,Batch,Id,DisplayName,Type,Rarity,Cost,Tags,SharedPool,SharedPoolStock,Faces,Hooks,EffectType,Conditions,TargetRule,Parameters,Duration,ValidationNotes,TechnicalRisk,DesignNotes
validated,ReadyNow,B1,dice.standard,Dé Standard,Die,Common,n/a,die.basic;die.standard,No,0,1/2/3/4/5/6,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Faces explicites; fallback off.,None,Dé de départ; garder gratuit et lisible.
validated,ReadyNow,B1,dice.heavy,Dé Lourd,Die,Common,n/a,die.basic;die.stable,No,0,2/3/3/4/4/5,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Tester distribution sans 6.,None,Bon contrôle de variance.
validated,ReadyNow,B1,dice.risky,Dé Risqué,Die,Common,n/a,die.basic;die.risky;value.zero;value.high,No,0,0/0/3/6/6/9,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Verifier score avec valeurs 0 et >6.,Scoring doit accepter 0 et 9.,Bon pivot pour builds risque.
validated,ReadyNow,B1,dice.even,Dé Pair,Die,Common,n/a,die.basic;build.even,No,0,2/2/4/4/6/6,PostScoreCalculation,AddScoreFlat,Always; all faces are even,SourceDie,Amount=2,Round,Valider que l'effet ne s'applique qu'une fois par dé pair.,Needs dice effect execution per source die.,Simple et bon pour onboarding build pair.
validated,ReadyNow,B1,dice.odd,Dé Impair,Die,Common,n/a,die.basic;build.odd;economy,No,0,1/1/3/3/5/5,Reward,AddGold,Always; all faces are odd,Source,Amount=1,Round,Verifier que le gold est cappe par l'economie.,Needs dice effect execution per source die.,"Economie douce, attention au snowball."
validated,ReadyNow,B1,dice.small,Dé Petit,Die,Common,n/a,die.basic;build.low,No,0,1/1/1/2/2/3,PostScoreCalculation,AddScoreFlat,DieValueEquals 1,SourceDie,Amount=5,Round,Tester plusieurs 1 dans le meme lancer.,None,Tres lisible.
validated,ReadyNow,B1,dice.big,Dé Gros,Die,Common,n/a,die.basic;build.high,No,0,4/4/5/5/6/6,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Cout gere par DiceItem.,None,Late game fiable; pas besoin d'effet.
validated,ReadyNow,B3,dice.golden,Dé Doré,Die,Uncommon,n/a,die.economy;gold;kept,No,0,1/2/3/4/5/6,Reward,AddGold,SourceDieLocked,SourceDie,Amount=RolledValue,Round,Created in B3; kept is implemented as locked runtime die state.,None,"Tres bon, mais doit etre lisible pour eviter confusion."
validated,ReadyNow,B3,dice.silver,Dé Argenté,Die,Uncommon,n/a,die.economy;gold_scaling;score.flat,No,0,1/2/3/4/5/6,ScoreModifier,AddScoreFlat,GoldThreshold >= 1,Source,Amount=CurrentGold*10; Cap=100,Round,Created in B3; dynamic gold scalar and cap supported.,None,Fort si economie; surveiller early snowball.
validated,ReadyNow,B3,dice.red,Dé Rouge,Die,Uncommon,n/a,die.score;value.high,No,0,1/2/3/4/5/6,ScoreModifier,AddScoreFlat,SourceDieValue >= 5,SourceDie,Amount=20,Round,Created in B3; targeted test covers value >=5.,None,"Simple, bon objet de premier lot."
validated,ReadyNow,B3,dice.blue,Dé Bleu,Die,Uncommon,n/a,die.score;set.blue,No,0,1/2/3/4/5/6,ScoreModifier,AddScoreFlat,Source has tag die.blue,SourceDie,Amount=10*OtherBlueDice,Round,Created in B3; count excludes source die.,None,Encourage collection mais peut snowball.
validated,ReadyNow,B3,dice.green,Dé Vert,Die,Uncommon,n/a,die.reroll;value.low,No,0,1/2/3/4/5/6,PostRoll,AddReroll,SourceDieValue <= 3,SourceDie,Amount=1,Round,Created in B3; reroll delta covered by targeted test.,None,Tres utile pour builds low.
validated,ReadyNow,B3,dice.purple,Dé Violet,Die,Uncommon,n/a,die.score;matching,No,0,1/2/3/4/5/6,ScoreModifier,MultiplyScore,SourceDieHasMatchingValue,SourceDie,Multiplier=1.5,Round,Created in B3; dynamic source-value matching supported.,None,Fort avec paires; bon pont vers combos.
todo,NeedsMechanicUIFlow,B5,dice.explosive,Dé Explosif,Die,Uncommon,n/a,die.score;chance.explosion;reroll,Yes,2,1/2/3/4/5/6,PostRoll,CustomExplodeDie,DieValueEquals 6,SourceDie,Reroll source die; add new value; recursive with cap,Round,Ajouter cap ou limite anti-boucle avant creation.,Recursive dice-specific reroll effect missing.,"Bonne sensation, mais doit etre cappe et anime."
validated,ReadyNow,B5,dice.cracked,Dé Fissuré,Die,Uncommon,n/a,die.score;risk;destroyable,Yes,2,1/2/3/4/5/6,ScoreModifier;RoundEnd,MultiplyScore;DestroyOrRemoveDiceChance,DieValueEquals 6;ChancePercentage 10,SourceDie,Multiplier=2; Chance=10,Round,Created in B5: x2 on 6 plus deterministic 10% destroy/remove after RoundEnd; permanent inventory removal covered by automation.,None after B5 permanent removal audit.,Risk payoff kept rare and visible.
todo,NeedsMechanicUIFlow,B5,dice.mirror,Dé Miroir,Die,Uncommon,n/a,die.position;copy;adjacent,No,0,1/2/3/4/5/6,PostRoll,CustomCopyAdjacentDieValue,Has left neighbor,SourceDie,Adjacent=Left,Round,Tester ordre de resolution avec plusieurs miroirs.,Adjacent die targeting missing.,Tres bon pour placement lineaire.
todo,NeedsMechanicUIFlow,B5,dice.magnet,Dé Aimant,Die,Uncommon,n/a,die.position;adjacent;buff,No,0,1/2/3/4/5/6,PostRoll,ModifyDieValue,Adjacent dice exist,AdjacentDice,Amount=1; Max=6,Round,Verifier cap max 6 et interactions avec valeurs >6.,Adjacent target rule and max clamp missing.,Interessant si UI montre les voisins.
todo,NeedsMechanicUIFlow,B6,dice.vampire,Dé Vampire,Die,Uncommon,n/a,die.competitive;steal_score,Yes,2,1/2/3/4/5/6,PostScoreCalculation,StealScore,DieValueEquals 6,AllOpponents,Amount=5,Round,Tester multi-target local multiplayer et prevention negative.,All opponents target loop missing.,Interaction faible mais lisible.
validated,ReadyNow,B4,dice.bank,Dé Banque,Die,Uncommon,n/a,die.economy;average,No,0,1/2/3/4/5/6,Reward,AddGold,Die value lower than roll average,Source,Amount=2,Round,Created in B4 completion; source-die below-average condition is implemented and covered by targeted average test.,None,Bon soutien economie avec decisions.
validated,ReadyNow,B5,dice.royal,Dé Royal,Die,Rare,n/a,die.rare;build.high;value.over_six,Yes,2,3/4/5/6/7/8,n/a,DefinitionOnly,None,None,DiceType=D8,Permanent,Created in B5: D8 faces 3/4/5/6/7/8; >6 values accepted by evaluator automation.,None after B5 value-range test.,Rare high-face die.
validated,ReadyNow,B5,dice.cursed,Dé Maudit,Die,Rare,n/a,die.rare;risk;value.negative,Yes,2,-3/-2/0/6/9/12,n/a,DefinitionOnly,None,None,DiceType=D6,Permanent,Created in B5: negative/zero faces accepted; final score clamps cleanly through score calculator.,None after B5 clamp test.,Risk die for controlled negative rolls.
blocked,NeedsMechanicUIFlow,B5,dice.lucky,Dé Chanceux,Die,Rare,n/a,die.rare;chance;consumable,Yes,2,1/2/3/4/5/6,Reward,GrantConsumable,DieValueEquals 6,Source,GrantedConsumable=random pool,Round,Not created in B5: GrantConsumable random pool is not robust/data-driven yet.,Random consumable pool missing from effect definition.,Reclassed until controlled consumable pool support exists.
blocked,NeedsMechanicUIFlow,B5,dice.critical,Dé Critique,Die,Rare,n/a,die.rare;critical;value.six,Yes,2,1/2/3/4/5/6,ScoreModifier,MultiplyScore,DieValueEquals 6,SourceDie,Multiplier=5 on own die contribution,Round,Not created in B5: own-die score contribution multiplier is not distinct from final score multiplier.,Per-die score multiplier pipeline missing.,Reclassed to avoid unclear score truth.
todo,NeedsMechanicUIFlow,B9,dice.berserk,Dé Berserk,Die,Rare,n/a,die.rare;scaling;persistent,Yes,2,1/2/3/4/5/6,RoundEnd,CustomPersistentFaceGrowth,Die was kept,SourceDie,MaxFace += 1 permanently while kept,Permanent,Besoin d'etat runtime persistant par instance.,Per-die permanent mutation missing.,Bonne idee late scaling mais lourd techniquement.
todo,TestCarefully,B5,dice.frozen,Dé Gelé,Die,Rare,n/a,die.rare;lock;reroll,Yes,2,1/2/3/4/5/6,PreReroll,SetDieCanBeLocked,Always,SourceDie,bCanBeLocked=true; FreeLock=true,Round,Clarifier cout de verrouillage si systeme en a un.,Free lock cost not modeled if locking is already free.,Peut etre redundant si verrouiller est gratuit par defaut.
validated,ReadyNow,B5,dice.ghost,Dé Fantôme,Die,Rare,n/a,die.rare;ghost;combo.trigger;no_sum,Yes,2,0/0/0/6/6/6,n/a,DefinitionOnly,None,None,bCountsForScoreSum=false; bCountsForCombinations=true,Permanent,Created in B5: value conditions still trigger while bCountsForScoreSum=false removes it from raw sum.,None after B5 ghost flag test.,Combo trigger without raw score contribution.
validated,ReadyNow,B5,dice.double,Dé Double,Die,Rare,n/a,die.rare;combo.count,Yes,2,1/2/3/4/5/6,n/a,DefinitionOnly,None,None,DefaultComboContributionCount=2,Permanent,Created in B5: ComboContributionCount=2 validated for Pair/Brelan contribution.,None after B5 combo contribution test.,Rare combo builder.
validated,ReadyNow,B5,dice.triple,Dé Triple,Die,Rare,n/a,die.rare;combo.count;no_score,Yes,2,1/2/3/4/5/6,n/a,DefinitionOnly,None,None,DefaultComboContributionCount=3; ScoreContributionValueOverride=0,Permanent,Created in B5: ComboContributionCount=3 and ScoreContributionValueOverride=0 both validated.,None after B5 override test.,Strong combo die with no raw sum.
todo,NeedsMechanicUIFlow,B8,dice.chrono,Dé Chrono,Die,Rare,n/a,die.rare;time,Yes,2,1/2/3/4/5/6,PostScoreCalculation,AddScoreFlat,SecondsRemaining available,Source,Amount=10*SecondsRemaining,Round,Valider timer par joueur et pause locale.,Per-player turn timer missing.,A garder tard pour eviter pression UI prematuree.
todo,NeedsMechanicUIFlow,B9,dice.echo,Dé Écho,Die,Rare,n/a,die.rare;copy_effect,Yes,2,1/2/3/4/5/6,PostRoll,CopyLastTriggeredEffect,A previous other dice effect triggered,Source,Exclude self; copy last dice effect,Round,Tester ordre et boucles avec Echo/Explosif.,LastTriggeredEffect exists but filtering previous other die missing.,"Puissant, a capper."
todo,NeedsMechanicUIFlow,B9,dice.cosmic,Dé Cosmique,Die,Epic,n/a,die.epic;persistent;face_scaling,Yes,1,1/2/3/4/5/6,RoundEnd,CustomPersistentFaceMultiplier,Random face each round,SourceDie,One face gains x2 score permanently,Permanent,"Besoin mutation de face par definition runtime, pas asset statique.",Per-instance face modifier missing.,Cool mais a reporter.
todo,NeedsMechanicUIFlow,B9,dice.infinite,Dé Infini,Die,Legendary,n/a,die.legendary;persistent;repeat_value,Yes,1,1/2/3/4/5/6,PostScoreCalculation,MultiplyScore,Current value equals previous round value,SourceDie,Multiplier doubles cumulatively,Permanent,Stocker previous/cumulative per die instance.,Partial PreviousRoundValue exists; cumulative multiplier missing.,Tres fort; impose cap/breakdown clair.
validated,ReadyNow,B5,dice.god,Dé Dieu,Die,Legendary,n/a,die.legendary;fixed;six,Yes,1,6/6/6/6/6/6,n/a,DefinitionOnly,None,None,bCanBeRerolled=false,Permanent,Created in B5: fixed 6 faces and bCanBeRerolled=false validated.,None after B5 reroll test.,Legendary predictable six source.
todo,NeedsMechanicUIFlow,B9,dice.chaos,Dé Chaos,Die,Epic,n/a,die.epic;random_faces;chaos,Yes,1,random each round -10..20,RoundStart,CustomRandomizeFacesForRound,None,SourceDie,Min=-10; Max=20; FaceCount=6,Round,Ne pas muter le DataAsset source.,Runtime random face generation missing.,"Fun, mais peut nuire a la lisibilite."
blocked,NeedsMechanicUIFlow,B5,dice.black_market,Dé Marché Noir,Die,Epic,n/a,die.epic;risk;economy;multiplier,Yes,1,1/2/3/4/5/6,ScoreModifier;RoundEnd,MultiplyScore;SpendGold,None,Source,Multiplier=3; SpendGold=25% current gold,Round,Not created in B5: SpendGold as percent of current gold is not supported.,Percent-current-gold scalar missing.,Reclassed until economy effect can express percent spend.
todo,NeedsMechanicUIFlow,B9,dice.copycat,Dé Copieur,Die,Epic,n/a,die.epic;copy;opponent,Yes,1,1/2/3/4/5/6,RoundStart,CustomCopyOpponentBestDie,Opponent has best die,TargetOpponent,Duration=1 round,Round,Definir meilleur de adverse et selection cible.,Opponent inventory copy flow missing.,Risque de complexite UI.
blocked,NeedsMechanicUIFlow,B5,dice.lord,Dé Seigneur,Die,Legendary,n/a,die.legendary;matching;multiplier,Yes,1,1/2/3/4/5/6,ScoreModifier,MultiplyScore,Other own dice with same result,MatchingOwnDice,Multiplier=2 for matching dice,Round,Not created in B5: matching-own-dice per-die multiplier is not clear enough in the current pipeline.,Matching-own-dice per-die multiplier missing.,Reclassed until die-local multiplier semantics are explicit.
validated,ReadyNow,B5,dice.jackpot,Dé Jackpot,Die,Legendary,n/a,die.legendary;jackpot;one_or_six,Yes,1,1/1/1/6/6/6,ScoreModifier,MultiplyScore,All dice values are 1 or 6,Source,Multiplier=10,Round,Created in B5: x10 only when all dice are 1 or 6; paired with score cap guard.,None after B5 all-dice-set and cap tests.,Mythic payoff with controlled ceiling.
validated,ReadyNow,B1,item.dice.standard,Achat Dé Standard,DiceItem,Common,0,item.dice;die.standard,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.standard,Permanent,Wrapper boutique; pas d'EffectDefinition requis.,None,Utile pour debug/loadout.
validated,ReadyNow,B1,item.dice.heavy,Achat Dé Lourd,DiceItem,Common,3,item.dice;die.stable,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.heavy,Permanent,Verifier GrantedDiceDefinition assigne.,None,
validated,ReadyNow,B1,item.dice.risky,Achat Dé Risqué,DiceItem,Common,4,item.dice;die.risky,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.risky,Permanent,Verifier GrantedDiceDefinition assigne.,None,
validated,ReadyNow,B1,item.dice.even,Achat Dé Pair,DiceItem,Common,5,item.dice;build.even,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.even,Permanent,Verifier GrantedDiceDefinition assigne.,None,
validated,ReadyNow,B1,item.dice.odd,Achat Dé Impair,DiceItem,Common,5,item.dice;build.odd;economy,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.odd,Permanent,Verifier GrantedDiceDefinition assigne.,None,
validated,ReadyNow,B1,item.dice.small,Achat Dé Petit,DiceItem,Common,4,item.dice;build.low,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.small,Permanent,Verifier GrantedDiceDefinition assigne.,None,
validated,ReadyNow,B1,item.dice.big,Achat Dé Gros,DiceItem,Common,6,item.dice;build.high,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.big,Permanent,Verifier GrantedDiceDefinition assigne.,None,
validated,ReadyNow,B3,item.dice.golden,Achat Dé Doré,DiceItem,Uncommon,7,item.dice;economy,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.golden,Permanent,Created in B3; wrapper grants dice.golden.,None,
validated,ReadyNow,B3,item.dice.silver,Achat Dé Argenté,DiceItem,Uncommon,8,item.dice;gold_scaling,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.silver,Permanent,Created in B3; wrapper grants dice.silver.,None,
validated,ReadyNow,B3,item.dice.red,Achat Dé Rouge,DiceItem,Uncommon,6,item.dice;score,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.red,Permanent,Created in B3; wrapper grants dice.red.,None,
validated,ReadyNow,B3,item.dice.blue,Achat Dé Bleu,DiceItem,Uncommon,7,item.dice;set.blue,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.blue,Permanent,Created in B3; wrapper grants dice.blue.,None,
validated,ReadyNow,B3,item.dice.green,Achat Dé Vert,DiceItem,Uncommon,7,item.dice;reroll,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.green,Permanent,Created in B3; wrapper grants dice.green.,None,
validated,ReadyNow,B3,item.dice.purple,Achat Dé Violet,DiceItem,Uncommon,8,item.dice;matching,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.purple,Permanent,Created in B3; wrapper grants dice.purple.,None,
todo,ReadyNow,B5,item.dice.explosive,Achat Dé Explosif,DiceItem,Uncommon,9,item.dice;explosive,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.explosive,Permanent,SharedPoolMaxStock=2 si active.,None,Limiter stock pour satisfaction/rarete.
validated,ReadyNow,B5,item.dice.cracked,Achat Dé Fissuré,DiceItem,Uncommon,8,item.dice;risk;destroyable,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.cracked,Permanent,Created in B5: grants dice.cracked and is tracked in rare/shared shop stock.,None after B5 shared pool purchase smoke.,
todo,ReadyNow,B5,item.dice.mirror,Achat Dé Miroir,DiceItem,Uncommon,8,item.dice;position,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.mirror,Permanent,Wrapper OK; effet attend placement.,None,
todo,ReadyNow,B5,item.dice.magnet,Achat Dé Aimant,DiceItem,Uncommon,8,item.dice;position,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.magnet,Permanent,Wrapper OK; effet attend placement.,None,
todo,ReadyNow,B6,item.dice.vampire,Achat Dé Vampire,DiceItem,Uncommon,9,item.dice;competitive,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.vampire,Permanent,SharedPoolMaxStock=2 si active.,None,
validated,ReadyNow,B4,item.dice.bank,Achat Dé Banque,DiceItem,Uncommon,7,item.dice;economy,No,0,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.bank,Permanent,Created in B4 completion; wrapper grants dice.bank and is catalog/shop registered.,None,
validated,ReadyNow,B5,item.dice.royal,Achat Dé Royal,DiceItem,Rare,11,item.dice;rare;high,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.royal,Permanent,Created in B5: grants dice.royal; SharedPoolMaxStock=2.,None after B5 shared pool purchase smoke.,
validated,ReadyNow,B5,item.dice.cursed,Achat Dé Maudit,DiceItem,Rare,10,item.dice;rare;risk,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.cursed,Permanent,Created in B5: grants dice.cursed; SharedPoolMaxStock=2.,None after B5 shared pool purchase smoke.,
blocked,blocked,B5,item.dice.lucky,Achat Dé Chanceux,DiceItem,Rare,11,item.dice;rare;chance,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.lucky,Permanent,Not created in B5 because dice.lucky is blocked.,Depends on blocked dice.lucky.,
blocked,blocked,B5,item.dice.critical,Achat Dé Critique,DiceItem,Rare,12,item.dice;rare;critical,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.critical,Permanent,Not created in B5 because dice.critical is blocked.,Depends on blocked dice.critical.,
todo,ReadyNow,B9,item.dice.berserk,Achat Dé Berserk,DiceItem,Rare,12,item.dice;rare;scaling,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.berserk,Permanent,SharedPoolMaxStock=2.,None,
todo,ReadyNow,B5,item.dice.frozen,Achat Dé Gelé,DiceItem,Rare,11,item.dice;rare;lock,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.frozen,Permanent,SharedPoolMaxStock=2.,None,
validated,ReadyNow,B5,item.dice.ghost,Achat Dé Fantôme,DiceItem,Rare,10,item.dice;rare;ghost,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.ghost,Permanent,Created in B5: grants dice.ghost; SharedPoolMaxStock=2.,None after B5 shared pool purchase smoke.,
validated,ReadyNow,B5,item.dice.double,Achat Dé Double,DiceItem,Rare,12,item.dice;rare;combo,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.double,Permanent,Created in B5: grants dice.double; SharedPoolMaxStock=2.,None after B5 shared pool purchase smoke.,
validated,ReadyNow,B5,item.dice.triple,Achat Dé Triple,DiceItem,Rare,13,item.dice;rare;combo,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.triple,Permanent,Created in B5: grants dice.triple; SharedPoolMaxStock=2.,None after B5 shared pool purchase smoke.,
todo,ReadyNow,B8,item.dice.chrono,Achat Dé Chrono,DiceItem,Rare,11,item.dice;rare;time,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.chrono,Permanent,SharedPoolMaxStock=2.,None,
todo,ReadyNow,B9,item.dice.echo,Achat Dé Écho,DiceItem,Rare,13,item.dice;rare;copy_effect,Yes,2,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.echo,Permanent,SharedPoolMaxStock=2.,None,
todo,ReadyNow,B9,item.dice.cosmic,Achat Dé Cosmique,DiceItem,Epic,16,item.dice;epic;persistent,Yes,1,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.cosmic,Permanent,SharedPoolMaxStock=1.,None,
todo,ReadyNow,B9,item.dice.infinite,Achat Dé Infini,DiceItem,Legendary,20,item.dice;legendary;persistent,Yes,1,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.infinite,Permanent,SharedPoolMaxStock=1.,None,
validated,ReadyNow,B5,item.dice.god,Achat Dé Dieu,DiceItem,Legendary,18,item.dice;legendary;six,Yes,1,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.god,Permanent,Created in B5: grants dice.god; SharedPoolMaxStock=1.,None after B5 legendary shared stock test.,
todo,ReadyNow,B9,item.dice.chaos,Achat Dé Chaos,DiceItem,Epic,15,item.dice;epic;chaos,Yes,1,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.chaos,Permanent,SharedPoolMaxStock=1.,None,
blocked,blocked,B5,item.dice.black_market,Achat Dé Marché Noir,DiceItem,Epic,15,item.dice;epic;risk,Yes,1,,PostPurchase,GrantedDiceDefinition,Purchase succeeds,Source,GrantedDiceDefinition=dice.black_market,Permanent,Not created in B5 because dice.black_market is blocked.,Depends on blocked dice.black_market.,
